MRSGI,08 24 2021,1.3,1.3,1.29,1.29,1846000
PGOLD,08 24 2021,39.75,40.3,39.5,40.0,288000
RRHI,08 24 2021,50.7,51.0,50.0,50.45,683770
SEVN,08 24 2021,86.0,86.0,86.0,86.0,700160
SSI,08 24 2021,1.13,1.13,1.08,1.08,2316000
WLCON,08 24 2021,24.15,24.5,24.15,24.5,729300
APC,08 24 2021,0.33,0.33,0.325,0.325,1250000
ECP,08 24 2021,5.18,5.44,5.18,5.44,96200
HVN,08 24 2021,470.0,480.0,470.0,480.0,2700
IPM,08 24 2021,7.1,7.1,7.1,7.1,700
PAX,08 24 2021,2.46,2.46,2.46,2.46,1000
PHA,08 24 2021,1.11,1.25,1.11,1.23,60566000
SBS,08 24 2021,4.15,4.28,4.15,4.28,83000
AB,08 24 2021,6.25,6.38,6.1,6.38,779600
APX,08 24 2021,1.52,1.53,1.51,1.51,1318000
AT,08 24 2021,6.34,6.34,6.15,6.18,833700
BC,08 24 2021,4.92,5.3,4.9,5.28,7900
BCB,08 24 2021,5.42,5.42,5.34,5.34,1100
COAL,08 24 2021,0.295,0.295,0.295,0.295,50000
DIZ,08 24 2021,6.1,6.1,6.04,6.04,3900
FNI,08 24 2021,2.31,2.32,2.26,2.26,4023000
LC,08 24 2021,0.139,0.141,0.136,0.139,5600000
LCB,08 24 2021,0.15,0.15,0.139,0.149,300000
MA,08 24 2021,0.011,0.011,0.01,0.011,332800000
MAB,08 24 2021,0.011,0.011,0.011,0.011,20600000
MARC,08 24 2021,0.97,0.98,0.94,0.97,207000
NI,08 24 2021,1.22,1.26,1.22,1.26,33000
NIKL,08 24 2021,5.6,5.64,5.5,5.54,5992700
ORE,08 24 2021,0.92,0.93,0.91,0.92,1671000
PX,08 24 2021,5.35,5.52,5.35,5.52,1414000
SCC,08 24 2021,16.36,16.9,16.36,16.6,1807300
UPM,08 24 2021,0.0085,0.0085,0.0085,0.0085,6000000
ACEX,08 24 2021,16.46,16.46,15.7,16.4,125200
OPM,08 24 2021,0.012,0.012,0.011,0.012,8000000
OPMB,08 24 2021,0.011,0.011,0.011,0.011,1200000
OV,08 24 2021,0.011,0.011,0.01,0.011,20000000
PXP,08 24 2021,6.27,6.39,6.27,6.39,344000
8990B,08 24 2021,101.1,101.1,101.1,101.1,20000
8990P,08 24 2021,101.0,101.0,101.0,101.0,2190
ALCPB,08 24 2021,103.4,103.4,103.4,103.4,80
ALCPC,08 24 2021,108.9,108.9,108.9,108.9,20
CEBCP,08 24 2021,43.9,43.9,43.7,43.8,29000
CPGP,08 24 2021,102.9,102.9,101.0,102.9,16290
DDPR,08 24 2021,100.6,100.6,100.6,100.6,40000
GTPPB,08 24 2021,1042.0,1042.0,1042.0,1042.0,30
MWP,08 24 2021,101.0,101.0,101.0,101.0,1050
